arr24,real_value,mean_prediction,median_prediction,desc
491,,0.0572259341968647,0.0587534787119387,dml-diag_calcium
451,,0.0918569798007885,0.0873603875503519,dml-diag_calcium
453,,0.0884919056664785,0.0853463065016513,dml-diag_calcium
452,,0.105343632472632,0.103549674007633,dml-diag_calcium
461,,0.0293094791017502,0.033827707140342,dml-diag_calcium
462,,0.040397099758081,0.0428434544744705,dml-diag_calcium
463,,0.0365745406823698,0.0429887121861453,dml-diag_calcium
471,,0.0440492448166371,0.0410523805687985,dml-diag_calcium
472,,0.0279512528257773,0.0270311047164923,dml-diag_calcium
473,,0.0303450111857787,0.0331889019707283,dml-diag_calcium
474,,0.0176523599194015,0.0165217771743567,dml-diag_calcium
482,,0.0957648050712346,0.0926844258502344,dml-diag_calcium
481,,0.203280839925574,0.217228981783438,dml-diag_calcium
493,,0.0361353275716316,0.0339855865195253,dml-diag_calcium
494,,0.080732510452182,0.0762471583574476,dml-diag_calcium
492,,0.0461820080931074,0.045766314427177,dml-diag_calcium
502,,0.193550179344761,0.198491000748107,dml-diag_calcium
503,,0.0839666097334228,0.0837224297541329,dml-diag_calcium
501,,0.0322384056278489,0.0301730030527288,dml-diag_calcium
514,,0.0539676209765249,0.0517146726972925,dml-diag_calcium
512,,0.0304599320309495,0.0294426072024457,dml-diag_calcium
511,,0.0398975443691097,0.0403893817056679,dml-diag_calcium
521,,0.0276494262743668,0.0255638514477499,dml-diag_calcium
522,,0.0332505027947371,0.0318247299464227,dml-diag_calcium
523,,0.101924314317272,0.0886211361671075,dml-diag_calcium
532,,0.0721910335339155,0.0716484721712724,dml-diag_calcium
